Date,Day,Description
2025-02-26,Wednesday,Mahashivratri
2025-03-14,Friday,Holi
2025-03-31,Monday,Id-Ul-Fitr (Ramadan Eid)
2025-04-10,Thursday,Shri Mahavir Jayanti
2025-04-14,Monday,Dr. Baba Saheb Ambedkar Jayanti
2025-04-18,Friday,Good Friday
2025-05-01,Thursday,Maharashtra Day
2025-08-15,Friday,Independence Day / Parsi New Year
2025-08-27,Wednesday,Shri Ganesh Chaturthi
2025-10-02,Thursday,Mahatma Gandhi Jayanti/Dussehra
2025-10-21,Tuesday,Diwali Laxmi Pujan
2025-10-22,Wednesday,Balipratipada
2025-11-05,Wednesday,Prakash Gurpurb Sri Guru Nanak Dev
2025-12-25,Thursday,Christmas
